Data,Warszawa - ul. Wokalna (pył zawieszony PM10 [jednostka ug/m3])
2019-12-03,21.3,
2019-12-04,25.7,
2019-12-05,33.1,
2019-12-06,31.2,
2019-12-07,18.4,
2019-12-08,10.7,
2019-12-09,18.1,
2019-12-10,17.1,
2019-12-11,31.7,
2019-12-12,30.6,
2019-12-13,21.0,
2019-12-14,18.6,
2019-12-15,9.0,
2019-12-16,21.4,
2019-12-17,32.5,
2019-12-18,26.4,
2019-12-19,37.8,
2019-12-20,26.8,
2019-12-21,25.0,
2019-12-22,19.1,
2019-12-23,16.4,
2019-12-24,13.3,
2019-12-25,19.1,
2019-12-26,14.5,
2019-12-27,10.3,
2019-12-28,5.8,
2019-12-29,12.2,
2019-12-30,24.4,
2019-12-31,10.6,
2020-01-01,20.7,
2020-01-02,32.7,
2020-01-03,37.5,
2020-01-04,11.6,
2020-01-05,12.2,
2020-01-06,30.0,
2020-01-07,36.0,
2020-01-08,33.0,
2020-01-09,25.6,
2020-01-10,25.9,
2020-01-11,11.4,
2020-01-12,20.0,
2020-01-13,22.7,
2020-01-14,37.5,
2020-01-15,33.5,
2020-01-16,35.1,
2020-01-17,46.2,
2020-01-18,43.6,
2020-01-19,35.8,
2020-01-20,33.4,
2020-01-21,22.9,
2020-01-22,16.4,
2020-01-23,20.4,
2020-01-24,35.0,
2020-01-25,31.4,
2020-01-26,36.0,
2020-01-27,54.7,
2020-01-28,42.2,
2020-01-29,13.6,
2020-01-30,13.4,
2020-01-31,11.7,
2020-02-01,13.5,
2020-02-02,7.3,
2020-02-03,17.4,
2020-02-04,14.7,
2020-02-05,13.6,
2020-02-06,19.2,
2020-02-07,20.6,
2020-02-08,36.7,
2020-02-09,33.0,
2020-02-10,11.1,
2020-02-11,7.3,
2020-02-12,8.8,
2020-02-13,17.2,
2020-02-14,33.6,
2020-02-15,42.9,
2020-02-16,22.1,
2020-02-17,14.6,
2020-02-18,12.7,
2020-02-19,14.8,
2020-02-20,22.4,
2020-02-21,19.7,
2020-02-22,17.6,
2020-02-23,6.4,
2020-02-24,10.4,
2020-02-25,14.2,
2020-02-26,14.6,
2020-02-27,18.3,
2020-02-28,30.0,
2020-02-29,16.8,
2020-03-01,15.0,
2020-03-02,24.8,
2020-03-03,22.6,
2020-03-04,24.4,
2020-03-05,32.0,
2020-03-06,28.7,
2020-03-07,24.4,
2020-03-08,20.2,
2020-03-09,30.2,
2020-03-10,33.4,
2020-03-11,9.5,
2020-03-12,12.5,
2020-03-13,10.6,
2020-03-14,6.7,
2020-03-15,18.7,
2020-03-16,25.4,
2020-03-17,44.3,
2020-03-18,50.8,
2020-03-19,33.5,
2020-03-20,17.9,
2020-03-21,10.6,
2020-03-22,11.3,
2020-03-23,19.4,
2020-03-24,32.0,
2020-03-25,39.0,
2020-03-26,44.3,
2020-03-27,60.1,
2020-03-28,69.8,
2020-03-29,70.6,
2020-03-30,16.0,
2020-03-31,24.6,
2020-04-01,25.3,
2020-04-02,29.9,
2020-04-03,40.2,
2020-04-04,29.6,
2020-04-05,41.5,
2020-04-06,37.7,
2020-04-07,52.5,
2020-04-08,25.0,
2020-04-09,41.5,
2020-04-10,19.6,
2020-04-11,15.9,
2020-04-12,19.4,
2020-04-13,21.7,
2020-04-14,19.2,
2020-04-15,33.9,
2020-04-16,44.8,
2020-04-17,22.2,
2020-04-18,12.8,
2020-04-19,11.7,
2020-04-20,20.1,
2020-04-21,24.8,
2020-04-22,31.9,
2020-04-23,27.2,
2020-04-24,34.1,
2020-04-25,21.7,
2020-04-26,12.3,
2020-04-27,26.3,
2020-04-28,30.7,
2020-04-29,24.3,
2020-04-30,13.4,
2020-05-01,23.9,
2020-05-02,22.5,
2020-05-03,19.7,
2020-05-04,52.0,
2020-05-05,36.1,
2020-05-06,18.4,
2020-05-07,19.3,
2020-05-08,44.8,
2020-05-09,44.1,
2020-05-10,21.7,
2020-05-11,33.0,
2020-05-12,9.4,
2020-05-13,15.1,
2020-05-14,20.7,
2020-05-15,21.8,
2020-05-16,35.2,
2020-05-17,35.3,
2020-05-18,22.9,
2020-05-19,42.7,
2020-05-20,19.1,
2020-05-21,16.3,
2020-05-22,20.9,
2020-05-23,24.2,
2020-05-24,11.1,
2020-05-25,14.2,
2020-05-26,22.0,
2020-05-27,23.5,
2020-05-28,15.1,
2020-05-29,12.6,
2020-05-30,12.9,
2020-05-31,18.1,
2020-06-01,20.4,
2020-06-02,11.8,
2020-06-03,14.2,
2020-06-04,13.0,
2020-06-05,16.1,
2020-06-06,9.8,
2020-06-07,9.3,
2020-06-08,17.3,
2020-06-09,15.7,
2020-06-10,19.0,
2020-06-11,16.8,
2020-06-12,18.9,
2020-06-13,23.8,
2020-06-14,13.5,
2020-06-15,16.7,
2020-06-16,49.8,
2020-06-17,57.6,
2020-06-18,24.5,
2020-06-19,22.1,
2020-06-20,23.0,
2020-06-21,25.0,
2020-06-22,28.0,
2020-06-23,15.0,
2020-06-24,17.0,
2020-06-25,20.4,
2020-06-26,20.1,
2020-06-27,40.3,
2020-06-28,28.9,
2020-06-29,19.0,
2020-06-30,28.3,
2020-07-01,32.0,
2020-07-02,25.9,
2020-07-03,31.6,
2020-07-04,22.2,
2020-07-05,22.9,
2020-07-06,28.6,
2020-07-07,14.9,
2020-07-08,14.7,
2020-07-09,15.1,
2020-07-10,15.7,
2020-07-11,11.6,
2020-07-12,12.4,
2020-07-13,10.3,
2020-07-14,15.0,
2020-07-15,18.6,
2020-07-16,21.6,
2020-07-17,22.5,
2020-07-18,21.4,
2020-07-19,22.3,
2020-07-20,23.3,
2020-07-21,19.1,
2020-07-22,12.2,
2020-07-23,16.2,
2020-07-24,16.4,
2020-07-25,15.0,
2020-07-26,13.1,
2020-07-27,17.4,
2020-07-28,23.0,
2020-07-29,18.0,
2020-07-30,24.6,
2020-07-31,16.9,
2020-08-01,11.6,
2020-08-02,14.3,
2020-08-03,28.4,
2020-08-04,22.7,
2020-08-05,12.5,
2020-08-06,15.7,
2020-08-07,24.5,
2020-08-08,25.3,
2020-08-09,22.8,
2020-08-10,22.6,
2020-08-11,31.5,
2020-08-12,28.5,
2020-08-13,31.0,
2020-08-14,28.6,
2020-08-15,19.6,
2020-08-16,16.6,
2020-08-17,29.7,
2020-08-18,26.8,
2020-08-19,28.1,
2020-08-20,27.2,
2020-08-21,29.2,
2020-08-22,23.9,
2020-08-23,19.7,
2020-08-24,16.1,
2020-08-25,17.8,
2020-08-26,19.9,
2020-08-27,7.2,
2020-08-28,11.5,
2020-08-29,21.2,
2020-08-30,18.6,
2020-08-31,11.1,
2020-09-01,10.9,
2020-09-02,15.1,
2020-09-03,13.8,
2020-09-04,20.1,
2020-09-05,18.8,
2020-09-06,15.6,
2020-09-07,16.8,
2020-09-08,14.8,
2020-09-09,21.3,
2020-09-10,20.3,
2020-09-11,25.1,
2020-09-12,25.9,
2020-09-13,20.6,
2020-09-14,29.7,
2020-09-15,31.8,
2020-09-16,41.5,
2020-09-17,12.5,
2020-09-18,17.3,
2020-09-19,26.3,
2020-09-20,27.7,
2020-09-21,32.9,
2020-09-22,40.2,
2020-09-23,45.9,
2020-09-24,38.4,
2020-09-25,30.5,
2020-09-26,32.0,
2020-09-27,8.5,
2020-09-28,13.3,
2020-09-29,19.6,
2020-09-30,38.6,
2020-10-01,65.1,
2020-10-02,17.4,
2020-10-03,21.1,
2020-10-04,17.8,
2020-10-05,17.8,
2020-10-06,14.4,
2020-10-07,27.5,
2020-10-08,31.2,
2020-10-09,27.8,
2020-10-10,24.6,
2020-10-11,15.3,
2020-10-12,19.9,
2020-10-13,7.1,
2020-10-14,9.1,
2020-10-15,25.5,
2020-10-16,24.8,
2020-10-17,18.5,
2020-10-18,17.4,
2020-10-19,21.8,
2020-10-20,28.6,
2020-10-21,27.8,
2020-10-22,36.4,
2020-10-23,41.5,
2020-10-24,31.7,
2020-10-25,31.2,
2020-10-26,27.4,
2020-10-27,33.5,
2020-10-28,38.1,
2020-10-29,29.1,
2020-10-30,28.8,
2020-10-31,37.0,
2020-11-01,32.0,
2020-11-02,34.6,
2020-11-03,28.0,
2020-11-04,32.9,
2020-11-05,24.7,
2020-11-06,23.3,
2020-11-07,20.3,
2020-11-08,28.9,
2020-11-09,23.8,
2020-11-10,23.1,
2020-11-11,29.5,
2020-11-12,29.3,
2020-11-13,38.8,
2020-11-14,48.0,
2020-11-15,40.9,
2020-11-16,29.9,
2020-11-17,35.4,
2020-11-18,32.2,
2020-11-19,25.7,
2020-11-20,18.0,
2020-11-21,28.6,
2020-11-22,20.0,
2020-11-23,19.7,
2020-11-24,21.6,
2020-11-25,43.8,
2020-11-26,43.4,
2020-11-27,32.0,
2020-11-28,16.0,
2020-11-29,18.8,
2020-11-30,33.1,
2020-12-01,41.9,
2020-12-02,33.8,
2020-12-03,32.1,
2020-12-04,26.8,
2020-12-05,26.4,
2020-12-06,21.8,
2020-12-07,18.6,
2020-12-08,24.6,
2020-12-09,31.6,
2020-12-10,28.4,
2020-12-11,29.5,
2020-12-12,19.7,
2020-12-13,24.8,
2020-12-14,18.3,
2020-12-15,27.3,
2020-12-16,35.4,
2020-12-17,41.0,
2020-12-18,42.1,
2020-12-19,38.4,
2020-12-20,30.9,
2020-12-21,33.5,
2020-12-22,29.8,
2020-12-23,20.4,
2020-12-24,16.6,
2020-12-25,7.2,
2020-12-26,16.0,
2020-12-27,22.7,
2020-12-28,15.4,
2020-12-29,13.7,
2020-12-30,29.0,
2020-12-31,38.2,
2021-01-01,29.4,
2021-01-02,38.6,
2021-01-03,44.2,
2021-01-04,28.1,
2021-01-05,9.6,
2021-01-06,19.6,
2021-01-07,19.7,
2021-01-08,30.5,
2021-01-09,40.4,
2021-01-10,27.6,
2021-01-11,29.6,
2021-01-12,35.9,
2021-01-13,23.3,
2021-01-14,23.7,
2021-01-15,18.0,
2021-01-16,26.2,
2021-01-17,43.1,
2021-01-18,113.5,
2021-01-19,95.4,
2021-01-20,35.4,
2021-01-21,31.1,
2021-01-22,30.2,
2021-01-23,28.1,
2021-01-24,21.0,
2021-01-25,19.6,
2021-01-26,17.9,
2021-01-27,14.6,
2021-01-28,26.9,
2021-01-29,16.1,
2021-01-30,28.7,
2021-01-31,25.6,
2021-02-01,55.3,
2021-02-02,43.5,
2021-02-03,43.6,
2021-02-04,13.0,
2021-02-05,23.2,
2021-02-06,32.8,
2021-02-07,14.5,
2021-02-08,17.4,
2021-02-09,42.1,
2021-02-10,80.4,
2021-02-11,28.6,
2021-02-12,12.2,
2021-02-13,19.7,
2021-02-14,18.9,
2021-02-15,30.4,
2021-02-16,31.9,
2021-02-17,65.9,
2021-02-18,45.7,
2021-02-19,44.9,
2021-02-20,42.3,
2021-02-21,43.8,
2021-02-22,47.8,
2021-02-23,75.2,
2021-02-24,64.7,
2021-02-25,73.5,
2021-02-26,48.5,
2021-02-27,7.6,
2021-02-28,22.7,
2021-03-01,20.8,
2021-03-02,33.3,
2021-03-03,45.4,
2021-03-04,35.6,
2021-03-05,11.8,
2021-03-06,12.6,
2021-03-07,11.8,
2021-03-08,10.2,
2021-03-09,21.8,
2021-03-10,43.4,
2021-03-11,37.9,
2021-03-12,18.5,
2021-03-13,13.5,
2021-03-14,5.7,
2021-03-15,23.2,
2021-03-16,39.4,
2021-03-17,13.1,
2021-03-18,10.7,
2021-03-19,16.5,
2021-03-20,10.4,
2021-03-21,21.5,
2021-03-22,13.1,
2021-03-23,19.8,
2021-03-24,24.9,
2021-03-25,50.1,
2021-03-26,60.8,
2021-03-27,33.3,
2021-03-28,17.8,
2021-03-29,29.5,
2021-03-30,27.6,
2021-03-31,32.5,
2021-04-01,41.1,
2021-04-02,11.4,
2021-04-03,7.3,
